id,x[m],y[m],z[m],t[s]
1,-1.25,1.25,1.0,0.0
1,-0.75,0.75,1.0,1.5
1,-0.75,0.25,1.0,3.0
1,-1.25,0.25,1.0,4.5
1,-0.75,0.25,1.0,6.0
1,-0.25,-0.25,1.0,7.5
1,-0.25,-0.25,1.0,9.0
1,-0.25,-0.25,1.0,10.5
1,0.25,0.25,1.0,12.0
1,0.75,0.75,1.0,13.5
1,0.25,1.25,1.0,15.0
1,0.25,1.25,1.0,16.5
1,0.25,1.25,1.0,18.0
2,-1.25,-0.75,1.0,0.0
2,-0.75,-0.75,1.0,1.5
2,-0.25,-0.25,1.0,3.0
2,-0.25,-0.25,1.0,4.5
2,-0.25,-0.25,1.0,6.0
2,-0.75,-0.75,1.0,7.5
2,-0.25,-1.25,1.0,9.0
2,-0.25,-1.25,1.0,10.5
2,-0.25,-1.25,1.0,12.0
3,1.25,0.75,1.0,0.0
3,0.75,0.25,1.0,1.5
3,0.25,0.25,1.0,3.0
3,-0.25,0.75,1.0,4.5
3,-0.75,1.25,1.0,6.0
3,-1.25,0.75,1.0,7.5
3,-1.25,0.75,1.0,9.0
3,-1.25,0.75,1.0,10.5
3,-0.75,0.25,1.0,12.0
3,-0.25,-0.25,1.0,13.5
3,0.25,-0.25,1.0,15.0
3,0.75,-0.75,1.0,16.5
3,0.75,-0.75,1.0,18.0
3,0.75,-0.75,1.0,19.5
3,0.75,-0.75,1.0,21.0
